max_degree,mean_degree,median_degree,nodes
9,5.0,4.0,3
3,2.5,2.5,2
8,5.0,4.0,3
7,5.0,4.0,3
4,3.5,3.5,2
8,7.0,7.0,2
2,2.0,2.0,2
11,8.5,8.5,2
10,8.333333333333334,8.0,3
3,3.0,3.0,2
8,7.0,8.0,3
7,5.0,5.0,4
6,4.5,4.5,2
4,3.0,3.0,2
16,9.75,9.5,4
13,7.75,7.5,4
5,3.5,3.5,2
11,6.333333333333333,5.0,3
12,8.0,9.0,5
4,3.3333333333333335,4.0,3
12,9.0,9.0,3
62,34.78260869565217,36.0,23
6,5.0,5.0,2
5,4.0,4.0,2
7,5.5,5.5,2
7,4.333333333333333,4.0,3
4,3.0,3.0,2
193,28.443946188340806,20.0,223
10,8.0,8.0,2
7,6.333333333333333,7.0,3
11,8.75,9.0,4
4,3.5,3.5,2
14,8.333333333333334,6.0,3
7,4.666666666666667,5.0,3
5,4.5,4.5,2
13,11.833333333333334,12.0,6
16,14.0,15.0,3
11,6.75,6.0,4
4,3.5,3.5,2
7,4.75,5.0,4
6,5.5,5.5,2
5,4.0,4.0,3
6,6.0,6.0,4
10,8.25,8.5,4
6,4.333333333333333,5.0,3
5,3.5,3.5,2
6,4.0,4.0,2
8,5.333333333333333,4.0,3
5,3.6666666666666665,4.0,3
3,2.5,2.5,2
5,4.0,4.0,3
16,9.75,9.0,4
2,2.0,2.0,2
7,4.333333333333333,3.0,3
5,5.0,5.0,3
6,5.0,5.0,2
14,7.333333333333333,4.0,3
3,2.5,2.5,2
10,7.0,7.0,2
3,2.5,2.5,2
6,4.5,4.5,2
4,4.0,4.0,2
9,5.333333333333333,5.0,3
8,5.5,5.5,2
6,4.0,4.0,2
2,1.5,1.5,2
205,16.776,10.0,125
10,7.75,9.0,4
8,6.333333333333333,6.0,3
7,6.0,6.0,2
2,1.5,1.5,2
10,6.0,6.0,4
5,3.5,3.5,2
5,4.333333333333333,4.0,3
4,4.0,4.0,2
4,4.0,4.0,2
5,3.5,3.5,2
14,7.75,7.5,4
7,6.0,6.0,4
4,3.3333333333333335,4.0,3
6,4.5,4.5,2
5,3.5,3.5,2
4,3.0,3.0,2
7,5.0,5.0,2
11,6.666666666666667,5.0,3
4,3.5,3.5,2
6,5.0,5.0,2
4,3.0,3.0,3
14,10.0,11.0,5
5,3.5,3.5,2
17,6.333333333333333,5.0,6
4,2.6666666666666665,3.0,3
3,2.5,2.5,2
4,3.5,3.5,2
7,4.5,4.5,2
8,4.75,4.5,4
25,11.76923076923077,11.0,13
7,5.0,5.0,2
16,9.142857142857142,10.0,7
4,3.5,3.5,2
3,2.5,2.5,2
6,5.5,5.5,2
23,13.125,15.5,8
3,2.5,2.5,2
